Timestamp,Electricity_General_Equipment_1,Electricity_General_Equipment_2,Electricity_General_Equipment_3,Electricity_Breakout_Equipment_1,Electricity_Breakout_Equipment_2,Electricity_Breakout_Equipment_3,Electricity_Quality_Equipment_1,Electricity_Quality_Equipment_2,Electricity_Quality_Equipment_3,Average_Temperature_Inside,Average_Temperature_Outside,Temperature_Breakout_Outside,Temperature_Breakout_Inside,Temperature_Quality_Inside,Temperature_Quality_Outside,Area_Inside_Room_Temperature,Area_Outside_Building_Temperature,Area_Inside_Room_Sensitivity,Area_Outside_Building_Sensitivity,Area_Quality_Inside,Area_Quality_Outside,Electricity_Usage_Equipment_1,Electricity_Usage_Equipment_2,Electricity_Usage_Equipment_3
1/1/2024 0:00,65.96056984,57.71549861,41.22535615,0,0,0,TRUE,TRUE,TRUE,10.90163751,7.267758339,0,0,TRUE,TRUE,10.90163751,7.267758339,737,975,TRUE,TRUE,405,221,396
1/1/2024 1:00,58.34082839,51.04822484,36.46301774,0,0,0,TRUE,TRUE,TRUE,9.815812336,6.54387489,0.25,0.25,TRUE,TRUE,9.815812336,6.54387489,692,946,TRUE,TRUE,74,228,104
1/1/2024 2:00,67.77226246,59.30072965,42.35766404,0,0,0,TRUE,TRUE,TRUE,14.12968434,9.419789559,0,0,TRUE,TRUE,14.12968434,9.419789559,891,144,TRUE,TRUE,260,453,89
1/1/2024 3:00,78.27635828,68.49181349,48.92272392,0,0,0,TRUE,TRUE,TRUE,9.379243354,6.252828903,0,0,FALSE,FALSE,9.379243354,6.252828903,552,738,TRUE,FALSE,121,279,388
1/1/2024 4:00,57.1901595,50.04138957,35.74384969,0,0,0,TRUE,TRUE,TRUE,11.9561193,7.970746199,0,0,TRUE,TRUE,11.9561193,7.970746199,436,575,TRUE,TRUE,244,483,359
1/1/2024 5:00,57.19035652,50.04156195,35.74397282,0,0,0,TRUE,TRUE,TRUE,10.21447812,6.80965208,0,0,TRUE,TRUE,10.21447812,6.80965208,98,517,TRUE,TRUE,316,377,267
1/1/2024 6:00,78.95055379,69.08173456,49.34409612,0,0,0,TRUE,TRUE,TRUE,14.84904956,9.899366373,0,0,TRUE,TRUE,14.84904956,9.899366373,656,526,TRUE,TRUE,96,331,418
1/1/2024 7:00,69.20921675,60.55806466,43.25576047,0,0,0,TRUE,TRUE,TRUE,18.6042903,12.4028602,0,0,TRUE,TRUE,18.6042903,12.4028602,30,548,TRUE,TRUE,137,297,311
1/1/2024 8:00,54.36630737,47.57051895,33.97894211,0,0,0,TRUE,TRUE,TRUE,9.295236052,6.196824034,0,0,TRUE,TRUE,9.295236052,6.196824034,795,674,TRUE,TRUE,426,475,50
1/1/2024 9:00,66.51072052,58.19688046,41.56920033,0,0,0,TRUE,TRUE,TRUE,7.640944551,5.093963034,0,0,TRUE,TRUE,7.640944551,5.093963034,248,523,TRUE,TRUE,126,274,348
1/1/2024 10:00,54.43898769,47.63411423,34.0243673,0,0,0,TRUE,TRUE,TRUE,12.82533934,8.550226229,0,0,TRUE,TRUE,12.82533934,8.550226229,416,446,TRUE,TRUE,114,86,284
